clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
21,1.85,23,0,0,2022-12-20 23:00:00,1,32,"viirs_point_31275_21/12/2022_4.89852,31.96083",300.47
35,1.87,0,0,0,2022-12-21 00:00:00,2,36,"viirs_point_31275_21/12/2022_4.89852,31.96083",299.61
63,1.15,1,0,0,2022-12-21 01:00:00,2,38,"viirs_point_31275_21/12/2022_4.89852,31.96083",299.13
76,1.1,2,0,0,2022-12-21 02:00:00,2,39,"viirs_point_31275_21/12/2022_4.89852,31.96083",298.7
61,0.46,3,0,0,2022-12-21 03:00:00,2,41,"viirs_point_31275_21/12/2022_4.89852,31.96083",298.08
49,0.76,4,0,0,2022-12-21 04:00:00,2,42,"viirs_point_31275_21/12/2022_4.89852,31.96083",297.69
49,1.18,5,0,0,2022-12-21 05:00:00,2,38,"viirs_point_31275_21/12/2022_4.89852,31.96083",299.72
35,2.22,6,0,0,2022-12-21 06:00:00,2,32,"viirs_point_31275_21/12/2022_4.89852,31.96083",302.53
100,3.05,7,0,0,2022-12-21 07:00:00,2,28,"viirs_point_31275_21/12/2022_4.89852,31.96083",304.98
100,3.59,8,0,0,2022-12-21 08:00:00,2,23,"viirs_point_31275_21/12/2022_4.89852,31.96083",307.21
100,3.81,9,0,0,2022-12-21 09:00:00,2,21,"viirs_point_31275_21/12/2022_4.89852,31.96083",308.66
100,3.53,10,1,0,2022-12-21 10:00:00,2,19,"viirs_point_31275_21/12/2022_4.89852,31.96083",309.63
100,3.32,11,0,0,2022-12-21 11:00:00,2,18,"viirs_point_31275_21/12/2022_4.89852,31.96083",310.29
100,3.13,12,0,0,2022-12-21 12:00:00,2,16,"viirs_point_31275_21/12/2022_4.89852,31.96083",310.67
92,2.81,13,0,0,2022-12-21 13:00:00,2,16,"viirs_point_31275_21/12/2022_4.89852,31.96083",310.54
96,3.12,14,0,0,2022-12-21 14:00:00,2,16,"viirs_point_31275_21/12/2022_4.89852,31.96083",310.27
97,3.57,15,0,0,2022-12-21 15:00:00,2,18,"viirs_point_31275_21/12/2022_4.89852,31.96083",309.28
