clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
84,1.52,16,0,0,2022-12-22 16:00:00,3,20,"viirs_point_34720_23/12/2022_6.48395,20.25144",303.87
87,1.42,17,0,0,2022-12-22 17:00:00,3,22,"viirs_point_34720_23/12/2022_6.48395,20.25144",300.73
88,1.67,18,0,0,2022-12-22 18:00:00,3,24,"viirs_point_34720_23/12/2022_6.48395,20.25144",299.79
100,2.07,19,0,0,2022-12-22 19:00:00,3,25,"viirs_point_34720_23/12/2022_6.48395,20.25144",298.89
100,2.27,20,0,0,2022-12-22 20:00:00,3,26,"viirs_point_34720_23/12/2022_6.48395,20.25144",297.79
100,2.02,21,0,0,2022-12-22 21:00:00,3,28,"viirs_point_34720_23/12/2022_6.48395,20.25144",296.48
99,1.88,22,0,0,2022-12-22 22:00:00,3,30,"viirs_point_34720_23/12/2022_6.48395,20.25144",295.49
96,1.94,23,0,0,2022-12-22 23:00:00,3,31,"viirs_point_34720_23/12/2022_6.48395,20.25144",294.69
96,1.82,0,0,0,2022-12-23 00:00:00,4,31,"viirs_point_34720_23/12/2022_6.48395,20.25144",294.14
95,2.33,1,0,0,2022-12-23 01:00:00,4,32,"viirs_point_34720_23/12/2022_6.48395,20.25144",293.59
81,2.86,2,0,0,2022-12-23 02:00:00,4,32,"viirs_point_34720_23/12/2022_6.48395,20.25144",293.86
74,2.58,3,0,0,2022-12-23 03:00:00,4,33,"viirs_point_34720_23/12/2022_6.48395,20.25144",292.98
78,2.14,4,0,0,2022-12-23 04:00:00,4,35,"viirs_point_34720_23/12/2022_6.48395,20.25144",291.93
82,1.79,5,0,0,2022-12-23 05:00:00,4,37,"viirs_point_34720_23/12/2022_6.48395,20.25144",291.21
82,2.45,6,0,0,2022-12-23 06:00:00,4,32,"viirs_point_34720_23/12/2022_6.48395,20.25144",294.16
49,3.48,7,0,0,2022-12-23 07:00:00,4,24,"viirs_point_34720_23/12/2022_6.48395,20.25144",297.91
61,3.58,8,0,0,2022-12-23 08:00:00,4,21,"viirs_point_34720_23/12/2022_6.48395,20.25144",300.93
64,3.52,9,0,0,2022-12-23 09:00:00,4,18,"viirs_point_34720_23/12/2022_6.48395,20.25144",303.38
73,3.2,10,0,0,2022-12-23 10:00:00,4,16,"viirs_point_34720_23/12/2022_6.48395,20.25144",305.14
79,3.06,11,1,0,2022-12-23 11:00:00,4,15,"viirs_point_34720_23/12/2022_6.48395,20.25144",306.41
96,2.42,12,0,0,2022-12-23 12:00:00,4,15,"viirs_point_34720_23/12/2022_6.48395,20.25144",307.58
100,2.21,13,0,0,2022-12-23 13:00:00,4,15,"viirs_point_34720_23/12/2022_6.48395,20.25144",307.77
74,2.21,14,0,0,2022-12-23 14:00:00,4,15,"viirs_point_34720_23/12/2022_6.48395,20.25144",307.54
74,2.41,15,0,0,2022-12-23 15:00:00,4,16,"viirs_point_34720_23/12/2022_6.48395,20.25144",306.75
65,1.96,16,0,0,2022-12-23 16:00:00,4,20,"viirs_point_34720_23/12/2022_6.48395,20.25144",303.96
53,2.12,17,0,0,2022-12-23 17:00:00,4,23,"viirs_point_34720_23/12/2022_6.48395,20.25144",300.17
45,2.38,18,0,0,2022-12-23 18:00:00,4,25,"viirs_point_34720_23/12/2022_6.48395,20.25144",298.71
3,2.24,19,0,0,2022-12-23 19:00:00,4,27,"viirs_point_34720_23/12/2022_6.48395,20.25144",297.48
32,2.17,20,0,0,2022-12-23 20:00:00,4,28,"viirs_point_34720_23/12/2022_6.48395,20.25144",296.75
31,1.92,21,0,0,2022-12-23 21:00:00,4,30,"viirs_point_34720_23/12/2022_6.48395,20.25144",295.8
35,1.7,22,0,0,2022-12-23 22:00:00,4,31,"viirs_point_34720_23/12/2022_6.48395,20.25144",295.15
48,1.85,23,0,0,2022-12-23 23:00:00,4,32,"viirs_point_34720_23/12/2022_6.48395,20.25144",294.71
57,2.0,0,0,0,2022-12-24 00:00:00,5,32,"viirs_point_34720_23/12/2022_6.48395,20.25144",294.29
63,1.64,1,0,0,2022-12-24 01:00:00,5,36,"viirs_point_34720_23/12/2022_6.48395,20.25144",293.21
37,1.83,2,0,0,2022-12-24 02:00:00,5,37,"viirs_point_34720_23/12/2022_6.48395,20.25144",292.62
27,1.82,3,0,0,2022-12-24 03:00:00,5,39,"viirs_point_34720_23/12/2022_6.48395,20.25144",292.0
22,1.76,4,0,0,2022-12-24 04:00:00,5,40,"viirs_point_34720_23/12/2022_6.48395,20.25144",291.36
20,1.58,5,0,0,2022-12-24 05:00:00,5,41,"viirs_point_34720_23/12/2022_6.48395,20.25144",291.0
18,1.8,6,0,0,2022-12-24 06:00:00,5,35,"viirs_point_34720_23/12/2022_6.48395,20.25144",294.2
47,2.54,7,0,0,2022-12-24 07:00:00,5,27,"viirs_point_34720_23/12/2022_6.48395,20.25144",297.88
40,2.53,8,0,0,2022-12-24 08:00:00,5,22,"viirs_point_34720_23/12/2022_6.48395,20.25144",301.13
57,2.55,9,0,0,2022-12-24 09:00:00,5,19,"viirs_point_34720_23/12/2022_6.48395,20.25144",303.63
49,2.46,10,0,0,2022-12-24 10:00:00,5,18,"viirs_point_34720_23/12/2022_6.48395,20.25144",305.59
