clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
8,4.33,20,0,0,2022-12-07 20:00:00,2,64,"viirs_point_4974_08/12/2022_-15.717,48.15082",297.03
11,3.79,21,0,0,2022-12-07 21:00:00,2,67,"viirs_point_4974_08/12/2022_-15.717,48.15082",296.49
11,3.41,22,0,0,2022-12-07 22:00:00,2,68,"viirs_point_4974_08/12/2022_-15.717,48.15082",296.04
10,3.36,23,0,0,2022-12-07 23:00:00,2,70,"viirs_point_4974_08/12/2022_-15.717,48.15082",295.71
54,3.0,0,0,0,2022-12-08 00:00:00,3,71,"viirs_point_4974_08/12/2022_-15.717,48.15082",295.51
10,2.46,1,0,0,2022-12-08 01:00:00,3,71,"viirs_point_4974_08/12/2022_-15.717,48.15082",295.38
7,2.08,2,0,0,2022-12-08 02:00:00,3,71,"viirs_point_4974_08/12/2022_-15.717,48.15082",295.2
5,2.36,3,0,0,2022-12-08 03:00:00,3,69,"viirs_point_4974_08/12/2022_-15.717,48.15082",296.04
4,3.67,4,0,0,2022-12-08 04:00:00,3,60,"viirs_point_4974_08/12/2022_-15.717,48.15082",298.12
3,3.93,5,0,0,2022-12-08 05:00:00,3,52,"viirs_point_4974_08/12/2022_-15.717,48.15082",300.15
5,4.14,6,0,0,2022-12-08 06:00:00,3,45,"viirs_point_4974_08/12/2022_-15.717,48.15082",301.88
0,4.01,7,0,0,2022-12-08 07:00:00,3,39,"viirs_point_4974_08/12/2022_-15.717,48.15082",303.47
0,3.52,8,0,0,2022-12-08 08:00:00,3,34,"viirs_point_4974_08/12/2022_-15.717,48.15082",305.47
0,3.31,9,0,0,2022-12-08 09:00:00,3,29,"viirs_point_4974_08/12/2022_-15.717,48.15082",307.19
0,3.97,10,0,0,2022-12-08 10:00:00,3,26,"viirs_point_4974_08/12/2022_-15.717,48.15082",308.26
1,4.37,11,1,0,2022-12-08 11:00:00,3,23,"viirs_point_4974_08/12/2022_-15.717,48.15082",308.58
1,4.19,12,0,0,2022-12-08 12:00:00,3,23,"viirs_point_4974_08/12/2022_-15.717,48.15082",308.45
17,4.15,13,0,0,2022-12-08 13:00:00,3,24,"viirs_point_4974_08/12/2022_-15.717,48.15082",307.4
11,3.9,14,0,0,2022-12-08 14:00:00,3,28,"viirs_point_4974_08/12/2022_-15.717,48.15082",306.41
11,4.4,15,0,0,2022-12-08 15:00:00,3,34,"viirs_point_4974_08/12/2022_-15.717,48.15082",303.79
12,5.42,16,0,0,2022-12-08 16:00:00,3,41,"viirs_point_4974_08/12/2022_-15.717,48.15082",302.0
10,5.47,17,0,0,2022-12-08 17:00:00,3,46,"viirs_point_4974_08/12/2022_-15.717,48.15082",300.33
